kr_code,kr_name,indicator,threshold,direction,tp,sl,max_hold,label,n,win_rate,avg_ret,edge,max_win,max_loss
034730,SK,institution_net,-3.0,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.6875,2.0985,67.15,9.44,-8.61
033780,KT&G,institution_net,1.0,BUY,3.0,-2.0,5,단기_표준,30,0.8,2.2181,66.54,8.38,-7.05
009150,삼성전기,foreign_net,2.0,BUY,3.0,-2.0,5,단기_표준,32,0.6562,2.0793,66.54,14.19,-6.13
241560,두산밥캣,foreign_net,-1.0,SELL_SIG,3.0,-2.0,5,단기_표준,31,0.6129,2.1311,66.06,12.79,-4.64
271560,오리온,defense,3.0,BUY,5.0,-3.0,10,중기,32,0.625,2.0398,65.27,9.57,-8.16
003670,포스코퓨처엠,foreign_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.5938,2.0133,64.43,19.59,-8.3
009150,삼성전기,foreign_net,1.5,BUY,3.0,-2.0,5,단기_표준,32,0.6562,2.0102,64.33,14.19,-6.13
003670,포스코퓨처엠,foreign_net,-2.0,SELL_SIG,2.0,-1.5,3,단기_보수,32,0.625,2.0089,64.28,19.59,-8.3
005940,NH투자증권,institution_net,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,30,0.6333,2.126,63.78,11.28,-8.15
005940,NH투자증권,institution_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,30,0.6333,2.126,63.78,11.28,-8.15
005940,NH투자증권,institution_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,30,0.6333,2.126,63.78,11.28,-8.15
011790,SKC,institution_net,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,31,0.5806,2.0085,62.26,12.73,-7.05
